team_id,era,avg,cur_wins,obp,slg,ops,stolenBases,leftOnBase,runs,whip,runs_against,blownSaves,strikeoutWalkRatio,wins
2024144,3.43,.243,49,.307,.406,.713,40,587,379,1.20,320,11,3.14,89
2013145,3.98,.245,34,.297,.377,.674,53,526,312,1.29,372,9,2.58,63
2014145,4.16,.249,43,.311,.398,.709,50,593,384,1.39,410,11,1.90,73
2015145,4.03,.241,37,.295,.356,.651,26,525,276,1.34,355,8,3.03,76
2016145,3.97,.249,44,.316,.400,.716,39,591,355,1.37,363,13,2.31,78
2017145,4.46,.261,37,.319,.419,.738,29,551,392,1.38,415,6,2.11,67
2018145,4.97,.243,30,.302,.403,.705,70,574,358,1.48,482,12,1.73,62
2019145,5.03,.257,42,.314,.412,.726,44,565,378,1.45,449,8,2.15,72
2021145,3.62,.255,51,.337,.411,.748,36,598,429,1.22,330,14,3.29,93
2022145,4.13,.254,39,.310,.378,.688,35,567,343,1.35,388,14,2.48,81
2023145,4.57,.238,38,.298,.395,.693,54,582,379,1.36,442,19,2.51,61
2024145,4.57,.222,26,.284,.350,.634,57,584,295,1.37,459,22,2.24,41
2013146,3.92,.233,32,.290,.341,.631,41,544,283,1.32,371,8,2.26,62
2014146,3.92,.257,43,.323,.386,.709,34,653,385,1.33,389,13,2.68,77
2015146,3.94,.253,35,.304,.378,.682,53,561,303,1.28,343,12,2.49,71
2016146,4.12,.274,44,.332,.410,.742,26,652,357,1.35,364,15,2.31,79
2017146,4.60,.268,39,.327,.424,.751,47,580,395,1.38,417,14,2.05,77
2018146,4.87,.241,36,.308,.366,.674,20,650,341,1.40,467,9,2.03,63
